"TIME","GEO","SEX","WORKTIME","WSTATUS","NACE_R1","UNIT","Value"
"1999","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Total - all NACE activities","Hour","37.2"
"2000","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Total - all NACE activities","Hour","37.1"
"2001","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Total - all NACE activities","Hour","36.7"
"2002","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Total - all NACE activities","Hour","36.5"
"2003","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Total - all NACE activities","Hour","35.9"
"2004","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Total - all NACE activities","Hour","36.0"
"2005","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Total - all NACE activities","Hour","35.7"
"2006","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Total - all NACE activities","Hour","35.6"
"2007","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Total - all NACE activities","Hour","35.5"
"2008","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Total - all NACE activities","Hour","35.6"
